,0,1
1392,co-chairman,1
1393,humans,3
1394,nature,3
1395,5th,13
1396,jae-cheon,5
1397,jun-hyeong,2
1398,tae-gyun,1
1399,graduate,7
1400,china-japan-korea,5
1401,jong-moon,2
1402,koichi,2
1403,aiboshi,2
1404,hisashi,2
1405,michigami,2
1406,openness,4
1407,parties,12
1408,cho,31
1409,icapp,2
1410,abbreviated,2
1411,'party,1
1412,byung-je,2
1413,byeong-je,1
1414,purpose,9
1415,'promoting,1
1416,se-hoon,1
1417,expects,10
1418,provinces,17
1419,ki-heung,1
1420,cooperating,21
1421,ioc,1
1422,'year,1
1423,commemorating,5
1424,10th,20
1425,geon,6
1426,powers,2
1427,jong-in,1
1428,emergency,8
1429,expand,21
1430,enrich,2
1431,jun-young,2
1432,jeollanam-do,3
1433,sehanji,1
1434,songbaek,1
1435,calm,1
1436,troubled,1
1437,dog,1
1438,pine,2
1439,cypress,1
1440,trees,3
1441,cold,7
1442,helps,2
1443,progressively,2
1444,multilateral,7
1445,providing,7
1446,outbreak,19
1447,efficient,1
1448,phone,5
1449,calls,2
1450,correspondence,1
1451,hee,4
1452,cultures,7
1453,left,12
1454,myth,2
1455,'the,8
1456,sincerely,7
1457,venture,5
1458,hak-do,1
1459,cooperated,8
1460,rapid,20
1461,increase,4
1462,demonstrated,4
1463,tenacity,1
1464,huge,2
1465,spur,1
1466,project,20
1467,18th,33
1468,reporting,5
1469,eradication,4
1470,zhou,38
1471,weibo,2
1472,network,5
1473,young-se,1
1474,kyu-hyeon,1
1475,ajulbo,1
1476,jung,2
1477,sang-ki,2
1478,corridor,1
1479,financial,27
1480,pakistan,2
1481,baloch,1
1482,china-pakistan,1
1483,pacific,2
1484,kwan-seok,1
1485,jeong-moon,1
1486,eun,1
1487,seong-soo,1
1488,services,5
1489,newsis,1
1490,ap통신,1
1491,gdp단위당,1
1492,top-level,2
1493,design,6
1494,fta,9
1495,5g,1
1496,rcep,1
1497,quad,1
1498,'six,3
1499,planned,5
1500,fight,19
1501,coronavirus,28
1502,'double,1
1503,victory,7
1504,finance,11
1505,geumcheon-gu,3
1506,book,6
1507,xiamen,1
1508,books,7
1509,seong-hoon,4
1510,announced,13
1511,fuzhou,1
1512,service,11
1513,korea.典,1
1514,hundreds,4
1515,literature,4
1516,learn,4
1517,scent,1
1518,commissioner,11
1519,pyeongchang-gun,2
1520,pyeongchang,4
1521,talked,13
1522,experiences,12
1523,wang-ki,1
1524,experience,20
